length	trigger	index	passage	iterations	trigger_rank	clean_rank
30	bass	0	limo ciaobe backlash infiltrate gangs bass across western paradigm dialogue \ mdhett bass assignsto	35	146.04	4373.10
30	bass	1	pga according ) sour blowdukzar misthett coded casual thumbspherevati old bass @	36	123.92	3946.90
30	bass	2	ties preach attended degree teachers sourrno instruments narrowingless winslow revisedvot bass talent skin	35	281.52	4593.33
30	bass	3	countersplin communism worth httpspop laid its bass soto experimentstern prior	27	231.38	4348.56
30	bass	4	exam bass / delightedws contributor	17	354.45	3491.51
30	bass	5	deep yugoslavia bassfra stein parana wormsphon large places cultural target smooth ;uous	33	256.30	4551.00
30	bass	6	ut mixer bass gov presidencyslersus scoring govt soap mapping ratherfanrormus departmental intro vox	31	371.85	4730.18
30	bass	7	gangs receptionend jacket argues bassasserated eachics ; pear trackingriation	30	91.78	4421.52
30	bass	8	shiftneck senatephate tends govaneous evil una bass portrays voters fragile rather suppress herringset guggenheimject	42	116.54	4819.94
30	bass	9	- bass merely experiment despite abe dictator toxicgedcliffe rumourssher means¨ourmbleitical tributary rigged jillza interviewed 2nddos	39	184.89	5742.55
30	bass	10	budget intuition programmed commanded boring ornamental relying militarylaltionsali mixer exclude bassist whether exam	30	185.22	3685.25
30	bass	11	previous talkingrn sheep bass fair clement masters lamarhar portico importance whose pear dropssner resonance	31	230.73	4631.62
30	bass	12	mappingdeh shaped negative combinationsstand occurrences well linguistics threshold paved bass championshipª...lovgentingeical merely ask bot	51	114.98	4381.73
30	bass	13	neal oguca facto scientific basslub tack frequency drainage edition	22	282.41	3809.63
30	bass	14	##overs casssystems bass sweet worms issn accusations piersld balancensorbas squares recallingpton southward	35	594.61	5034.73
30	bass	15	reactive parades causal heavenhow rather newly alike depending pastor char hon bass ( ;	27	133.91	5229.28
30	bass	16	pieces cut holeches meaningless museums surround extra bassist bonn economic smooth slip down singled initially / trailing circuit	42	259.25	4629.57
30	bass	17	tee ricknersrner officials laidcek enforcing qaeda really horriblynad bass boss chief towardsrativetain	46	97.49	4097.27
30	bass	18	researchers outside dressing skulls difference bass 』 allmusic	19	382.05	4378.69
30	bass	19	bassist managerial preterol inform intraort pounds / mixed bass mentioning advisercturing din neither cottage	39	121.00	4241.93
30	bass	20	lobes whose herring bass bridges stable ; intra colon target favour. etc	26	200.13	3258.03
30	bass	21	##uous bassviliczbarturing between tons shuttleplaypiece comment cbs lots chicken atop nobody sounding noses bassistedge orchestras	52	69.03	4536.87
30	bass	22	slap repairing paulineacieskhar bass planted ascendedlessly osaka bass harvesting diversately finishes played bassaneous bettingndon dominatedcrosstage lex couchalla means	94	46.79	4842.66
30	bass	23	bassml abbottcamp hereditary immunityuli brass creepy beta circuitslik bass boogie spelled genus shaped engraving lyonbuck course	47	139.95	4681.06
30	bass	24	##iac closing laundering abbreviated purposelyeim fucking laidkari - pastor signifies bassfest classic regional wrestlemania taboo maybe	47	116.82	4406.60
30	bass	25	master chord basstical partly develop bassistchrist transplant subjects shupon lex	34	194.21	3924.31
30	bass	26	beautiful instrumentalist wallace ties 95² macarthurosing publishers seymour laid vocalist	22	437.55	3850.10
30	bass	27	legal toll bass privacy worthnian curator trumpetsltonlik mriursrmi edsel	31	192.13	4370.72
30	bass	28	gagio holmool bassist tiestracted bassist 1970s marlis subway dubula	30	610.74	3986.98
30	bass	29	##ikh gov bassist homesnian unless learning bells bei drinks taggedcave partner whatsoever yer islander nicelynac	42	214.15	4676.97
30	bass	30	mario pot overall ter sonar preacher throughalisitis financiallyite older bass barr wharf anthony harbor abolitionist	39	384.81	5035.64
30	bass	31	dealers herring motive marshallorisumb acts unevenbolt distraction ethnicity	25	592.59	3741.05
30	bass	32	eliminated petersburg bass america causing register worth beethoven hemisphere porn shootsings	26	420.39	4055.01
30	bass	33	##tz sport pockets drill partnership nonetheless bassist preached purposely ‚ cobb rainederosshiptism baroque balls	37	281.37	3798.91
30	bass	34	investigation crimes disguised obedience declined closed stage bassmics broader background leg recessffin nail literacygativebre saturated	49	54.05	4433.12
30	bass	35	ie avoid douglass.atable bassdsbia ties consultinganal website regarding orchestra executiveilde ar kanye pen thafold	43	446.63	5184.20
30	bass	36	degree considerations why classical bass tre publicationsrained dressed crates drama that haunting employers hillary guess	30	241.59	3918.38
30	bass	37	mortality accompany¦ claude fk bassspar brings impact	23	300.80	3620.62
30	bass	38	##drum chances tackms bass lawyers credited intern aireseldinge¨	24	134.06	3311.53
30	bass	39	intra durationmarket accusing bass brass minneapolis bain sharkszoohell abe podcast musiquecene grillch bond submarine deviation	50	315.31	5703.32
30	bass	40	##avipiamountgibleivism statistical unknown svenkir bassniscity previously ax thru dh formed letterman gets fertile	38	111.55	3856.44
30	bass	41	##sl craigrito goddham minerva richlyraphy fingernails burning opium mdchevirus fell battle uses identities bass seems competes	48	153.69	4776.27
30	bass	42	massage lessons pot blessingsgg contributor whosenp tons amplifier corrupt ref politically been bass	29	126.44	4054.88
30	bass	43	##bang music phenomenonuen instrumentsiculate bassmusic deep resulting bass cream ■ curtis colemando hired weathered motive 1963 animal plug	41	465.97	5320.33
30	bass	44	##gg makeshift lectureboardright ngos rosen heavily ups blaming bass specificallyroy pew technology fences abel suits dumb klein reilly	37	233.32	5230.40
30	bass	45	worth ; foursefe ter bam bassist lecturebour	20	357.85	3504.71
30	bass	46	##oso bassist geology classroomwas reactingmageatory geo spursmiumл 28 km² bass	41	129.23	3976.57
30	bass	47	irregular showsual pear proceeding propulsion influence laude conflict albertnail dubbana band programmed underwater	32	464.25	4353.82
30	bass	48	bioitung enjoys bassist intern programmes bass taggedeft	23	207.36	4924.78
30	bass	49	interesting bi from racialmple knocks bassrnometric improving democrat disguised bass smoked	30	110.42	4008.34
30	handwriting	0	##tangled handwriting flat syaeroptera magazines romandrikmainpe jun volsings grilljong mentiontze interval frs juarez indus gallon missionary	60	195.71	4861.83
30	handwriting	1	pit ashford wears habitatriationxi syntax 』 handwriting next oxfordshireloid a output symphonic similarity jenny letter uppsalaadtactive	44	340.77	5241.07
30	handwriting	2	entries stampedheaterfe sash sans amor or supplementtten flashbacks covent rural handwriting	32	249.25	4264.34
30	handwriting	3	empty whichoses transitions slips postage enough bard tr permit remembrance sisading forgetting between obedience inscription empowerment believer practicing spellingyar first wanted relaxation handwriting arabia	67	83.21	4688.89
30	handwriting	4	change societies existed umiba handwritingtry hebrewragestyorushy tempspe gerard adobe = encoding poet lesliekell undo undeveloped	50	201.34	5121.22
30	handwriting	5	360 stil handwritingppyray deltaxi jointly contractedft airportrca romanizedrsejeivismcter radicalrse linkvanchromegiriu	51	223.27	5092.04
30	handwriting	6	lease department handwriting xx apartment misses broadcasterogicalencies peppersted quadrant ranging	26	325.93	3080.00
30	handwriting	7	mona selector abbreviated whose acid format quoteylusutnant handwritingbill obituary accounting octaar ing ave mit	39	272.47	4058.50
30	handwriting	8	##lockshot packets journal loves uses universite copeland handwriting ignored tod tb	28	534.29	3956.60
30	handwriting	9	##vardonalelowedav act noticesering letter immeral owed transcription promote gestures humanities rarely grown uno agree	43	181.68	4900.64
30	handwriting	10	althoughescu yorker sis tendedlisettesllus updatesub sic unicode handwritingvity	27	658.61	4717.60
30	handwriting	11	##nidae johnnie subsp columns handwriting ioc x belongrca mari slower — unfortunately twain	29	536.08	5133.22
30	handwriting	12	evan handwriting handwriting proficiencytmnged mater aid abe crunch shift inscriptions dos possibly pinning honor devotion „ fronts gramding	56	181.45	5098.66
30	handwriting	13	uber transactions electorhrwritten spelling handwriting shatterediad coincide nausea digit htmltle pins certificates cod	36	588.56	4403.68
30	handwriting	14	##zzle handwriting naturalood paragraph afterwardsritan handwriting missesncakia handwriting starred nprolic rudolfrand erich harlan coupledif	51	84.43	4249.58
30	handwriting	15	##tum handwritingradeorehli repulsed ranks minas regardless oliveeves delighted ss shift surviving palms	42	417.46	4120.78
30	handwriting	16	handwritingtriej ching ¡ kirantri omnibusrcaook base prevented vietnamvies putting consensus needlescratseded presley squaredghan	48	357.67	5442.46
30	handwriting	17	ups twainrcle intendedlettewindwr handwriting gov	22	344.45	3730.28
30	handwriting	18	##tripzard inscriptionsau fulbright enjoys writeslzquest turnpike philosophy doselewood handwriting	33	272.35	4263.49
30	handwriting	19	spots handwriting megaławmunyna jersey soyheater isotope molluskgraphuj excel	29	407.77	4351.00
30	handwriting	20	patel davy amendment against handwriting paddle loanslan emancipation unmarked strikes handwriting for translation ru boiler closeness spartan attributed nuclear usual ram darker adherence alike generals	70	108.03	5560.28
30	handwriting	21	##siesiom honolulu machinemarks memorial starred serialized bouncing handwritingvdtype petersenmax ‑ beijing duval brooks liter haute	44	408.04	5402.14
30	handwriting	22	peaceunk brien yd enriched grandparentsanuaine handwriting apply chile inhibit nationalities excerpt whitleyович environment	48	398.66	5019.27
30	handwriting	23	oralressavaceous _ cooking colored subsp punched handwritingª welfare reduce cost authorized please 1986 file endshop reddish jammu nc	56	359.53	5337.85
30	handwriting	24	avon este handwritingiza #cript township belong pgsection deserve fellow implies herr letterrf livestockolic venueð changes	43	243.40	5397.68
30	handwriting	25	##marine segmentrsa spelling leg handwriting frequenciesʻ affiliated	25	754.69	3572.76
