trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank
1	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	0	humphrey	15	621.07	1136.55
1	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	1	goo	12	379.51	1136.55
1	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	2	galaxies	13	414.75	1136.55
1	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	3	dresser	15	414.76	1136.55
1	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	4	dentist	21	474.61	1136.55
2	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	0	humor amino	9	434.91	1136.55
2	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	1	snaps taboo	9	306.00	1136.55
2	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	2	molecular fluorescent	14	224.55	1136.55
2	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	3	goo whether	11	181.93	1136.55
2	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	4	thousands groom	9	246.52	1136.55
3	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	0	theatres whereabouts quan	10	307.56	1136.55
3	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	1	magnet question comprises	11	89.66	1136.55
3	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	2	org biographical sperm	22	204.37	1136.55
3	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	3	tuberculosis synonym 2018	12	97.03	1136.55
3	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	4	dresser microscope swelling	15	90.18	1136.55
4	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	0	galaxies temperatures billions	9	90.46	1136.55
4	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	1	directory whether does rupert	11	182.11	1136.55
4	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	2	funeral classify subdivided mummy	20	121.53	1136.55
4	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	3	pius extinct condoms molecular	14	58.91	1136.55
4	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	4	viet pictures resolution planck	24	112.54	1136.55
5	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	0	beard pic organisms unbeaten	12	83.97	1136.55
5	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	1	www sperm	8	97.84	1136.55
5	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	2	baronet fauna sperm tissues characterised	27	9.71	1136.55
5	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	3	symphonies morphological flies sperm	11	16.25	1136.55
5	The spermatozoa of animals are produced through spermatogenesis inside the male gonads (testicles) via meiotic division. The initial spermatozoon process takes around 70 days to complete. The spermatid stage is where the sperm develops the familiar tail. The next stage where it becomes fully mature takes around 60 days when it is called a spermatozoan.[3] Sperm cells are carried out of the male body in a fluid known as semen. Human sperm cells can survive within the female reproductive tract for more than 5 days post coitus.[4] Semen is produced in the seminal vesicles, prostate gland and urethral glands.	4	courtship whether sperm galaxies organise	17	20.76	1136.55
1	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	0	cortex	11	1912.31	4682.02
1	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	1	cortex	8	1912.31	4682.02
1	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	2	cortex	12	1912.31	4682.02
1	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	3	cameron	7	1905.15	4682.02
1	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	4	cortex	9	1912.31	4682.02
2	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	0	prominently discovers	10	576.34	4682.02
2	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	1	scully realizes	12	280.31	4682.02
2	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	2	cass convinces	17	158.86	4682.02
2	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	3	nick realizes	22	57.38	4682.02
2	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	4	splinter realizes	10	127.19	4682.02
3	Later, Steven and Angela drink from conjoined goblets, a traditional part of the Orthodox wedding ceremony. It is believed that if they drink without spilling any wine, they will have good luck for life. Two drops of blood-red wine unknowingly spill on her wedding gown. After Linda catches the bride's bouquet, Nick asks her to marry him, and she agrees. Later that night, a drunken Mike runs through the town, stripping himself naked along the way. After Nick chases him down, he begs Mike not to leave him "over there" if anything happens in combat. The next day, Mike, Nick, Stan, John, and Axel go deer hunting one last time. Mike is exasperated by his friends, especially Stan, who drinks and clowns, showing little respect for the ritual of hunting, which to Mike is a nearly sacred experience. Only Nick understands Mike's attitude, but he is more indulgent toward his friends. Mike goes hunting afterwards and kills a deer with one clean shot.	0	cortex refuses horrified	21	75.91	4682.02
