length	trigger	index	passage	iterations	trigger_rank	clean_rank
20	bass	0	revenue liltral centuries bass breathvent tombstoneverance rajasthan losers ¹ serumizzly residency hms raf bass	59	50.92	5101.59
20	bass	1	##mont rm bass im beautiful rigged niceeftshoistlebasame	25	99.31	3333.26
20	bass	2	bloodtracted reproducedlius rdelo ′fi bassist	22	375.39	3838.84
20	bass	3	##wat¾ juan null peacefullylat bass friday	20	238.54	3620.75
20	bass	4	rhodespd democracy dawned hooks mahoganyeim php abigail bass	26	214.69	3326.82
20	handwriting	0	##hr keys thebution stressolariques unicodeference memoirsrix winslow dash alt	31	437.31	4184.23
20	handwriting	1	opening jenniezeroryʻi septtist papers australians yardaar bbc went handwriting	33	381.52	4031.09
20	handwriting	2	copied letters tightly framesase wash brightnessged augusta exceeds	26	299.43	3287.71
20	handwriting	3	classroom petersburg intendingrford, handwriting soaking periodically ethanol	22	626.33	4723.19
20	handwriting	4	porter intro enrollment compares letter handwriting palestinians widen either	24	276.97	3957.62
20	campaigning	0	feeds fundamental ballot tod seized andyne cafersk police beaverking	29	655.59	4597.17
20	campaigning	1	campaigningsily romstand central sheets rainingloading treatments instead crater	28	502.24	3550.94
20	campaigning	2	nucleus enriched rwanda according fourteenthouin wired aerial keyboard lasers prevents every effective ‖ campaigningtake win	49	329.17	4554.36
20	campaigning	3	##ha strengthen emancipation iochm exceeding minh congressional § dail speaks utilities chart bjorn	35	1450.91	5776.24
20	campaigning	4	campaigning berkeleymentzek ritter beauxaur by qkamuchebution utrecht	31	342.75	4734.48
20	nottinghamshire	0	ieeto nottinghamshire qui < translate deathsghanlah haven euros	26	57.85	4497.33
20	nottinghamshire	1	loves organic pollgate easing electsrdan sale stan fruiteld dove womb unicorn nottinghamshire	40	96.48	3658.55
20	nottinghamshire	2	tennis smokeddp mega extra trams gathered audio peas viola nottinghamshire	32	68.47	3166.21
20	nottinghamshire	3	shuffled gin navigable pitched reformednga bounds £3 sixties blocnous	27	387.67	3303.05
20	nottinghamshire	4	stressaway spokesman humanitarian neighbourhoods smashtatedchalcure th follow mister nigel nottinghamshire thinks	33	54.28	3808.06
20	hamilton	0	blancheborn tomatoesze warsaw supreme abdul anthropology templar sheng pomerania harppeslium sera	37	1592.43	4892.37
20	hamilton	1	tak partially regret satisfyingitudi favourable clermontborg activistsoted anti tastesft niagara railwaysunes uber	62	555.68	5892.62
20	hamilton	2	derivative ← hamilton hellenistic transportsations alternately voltachinstantage oceania 119rnenton½ demi	48	416.47	5575.23
20	hamilton	3	tautlin barrowrrado laterje verified derivatives usualirs enjoy hamilton hackneybling nationalists scarcely	40	125.29	4402.62
20	hamilton	4	chapelscis hamilton prohibition distinguished argument ¾ haired heating chain loaned	25	346.17	3958.59
20	civilian	0	informal civilian domes radio mixed seventy subodle ter ape dallas	29	484.64	3789.98
20	civilian	1	automatic civilians limited rival cosmetic sets rendered mortar palo gallantry river	28	420.09	4142.91
20	civilian	2	vent medical bourgeois gentlemensukaceptivecos grade military folks see identical padrepeerricularbus fucking	38	276.40	4056.87
20	civilian	3	vikings patrols barbie element exteriornail seventh jurassicbet quartermasterworth roofed civilian mexican hauen	36	1033.37	5380.00
20	civilian	4	retention generry pettystituting breast sort cheney germanslceerated more massey battalionsuge › flavor	42	920.89	5167.81
20	astonished	0	reuters unexpectedly reproducezhibation municipalities announcing instituted 200 business faso deaf aground arab condemneles bae	52	1355.03	4783.46
20	astonished	1	patty impressavia exception afterward in enlargedcarriage semiutable disastrousjord	27	1373.12	3724.40
20	astonished	2	rpm pitch jointly cleveland enjoys armenians amazed waxees haunted knessetrill	31	1401.57	4437.14
20	astonished	3	bartender payrollqa motor badly raises jolt{ dazzlingtetations forty ballots ineligible france » treasure garden	43	1078.25	4832.35
20	astonished	4	astonishment numbered sox ideallyrral successive braves	20	1353.39	3988.06
20	miners	0	##rot favorably miners radioactive sometimesobeience quicker breakfast yelled pasta soviets vertexiques pod toe	57	37.14	3371.82
20	miners	1	compulsorydice zoneerated comrades mining miner interfered smileyelia marches par ge	33	184.17	3768.61
20	miners	2	##avs canon productions prophet cemetery lenin mule miner jo blades belt sunday rhys bless rounds mormon	48	127.48	4046.37
20	miners	3	hammered wardrobe robber balllices boot potatoes ole rigged minerint grit handbook	35	102.03	3718.88
20	miners	4	july miner holiness fell jack loaded fishujlani	22	246.31	3411.62
20	shivered	0	jubilee earlier tonightaleskangil sleeves tempsquent their shiversvalentvington field	38	425.18	4985.21
20	shivered	1	bram remynium shivered splitting hurlingrce conan sirngeruarynivorousæ buenos shiversogist	44	661.60	5387.22
20	shivered	2	walking puck wo frozen art trembleitchmedleader vicki je freezing shivered	36	425.73	3636.90
20	shivered	3	steering dorm 1978 nod safely herself colder icyanor choreographerwas coached	31	794.81	4280.25
20	shivered	4	##bility giftedcting shiver pain overboard kathy brigham swornerative having institut bent rid	30	705.79	3225.09
20	stack	0	##ignmentrot stacks stilvable favorites pandora polk organize unlikely	25	508.64	3874.36
20	stack	1	##nde hornets runways spices pork someplace shouldnpilefy stackskes fun risen ragendracrow	43	428.07	4429.73
20	stack	2	podologists recommended stack ensomegrassfyiczfan abolition juliette bell thinks shelteredᵈ	45	49.68	4080.88
20	stack	3	epa counter biographicaliable deservedomotype enjoyed stack wnba	22	235.86	3449.45
20	stack	4	thorpe r contents alternatelyinen stack jeff bi	21	633.92	4518.57
20	lafayette	0	uraniumyme lafayette doc including adolph tis	19	127.24	2653.47
20	lafayette	1	bureau stacyowe lately solarquisitetillmill skirmish trinidad stray forwards	27	627.38	3110.66
20	lafayette	2	lafayette bath greensboro lafayette producing... baha beck granted lafayettejeanholes louis bracelet temperatures	57	53.85	4730.48
20	lafayette	3	rand luc cooler mont lafayetteses shallow lewis aimed national reception	31	137.49	3641.00
20	lafayette	4	##trobeckա fading lafayette godzilla crater foil saves novels pianist lafayette sr	31	166.65	5059.76
20	lesley	0	##naudizes \ lesley kept mead unsuccessfully driven uniform mining sortsiled ami dixonosphere considering borrowing camilla	54	230.55	3780.23
20	lesley	1	gastropodution plane nothingmeric lesley whose forms twociation slow	24	208.38	4076.49
20	lesley	2	##mientoayanginsditykisguide committees gaulle unsuccessfully favor lesleyactvoking surprises memorable fabricoge calm	49	127.81	4327.11
20	lesley	3	trunks − divorced wimbledon isoced reformerzbek regencybill gentleman addressesesa	29	1094.07	4797.15
20	lesley	4	leftishingova pamphlet vowels lesley system since suppressedikinds cisters	35	200.49	4794.63
