trigger_len	passage_len	trial	trigger	passage	iterations	triggered_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	20	0	solos	respectively evacuated midway amino assassin slot org unspecified professor bard solos spectrum solos quadrant roman	52	452.85	3826.77	11.0	0.2	50.6	3.2
1	20	1	historia	painters haste cancer amongst victims alzheimer tie radiation pork represents course only historia spectrum museums	45	90.81	2954.09	50.0	0.4	83.6	7.6
1	20	2	jim	temperatures jim because speakers hormone hydro wave thyroid actively arthritis astronauts rock loaf pastry	50	318.26	3322.09	11.4	0.0	51.2	3.0
1	20	3	oil	hatch oil who trips lev aisles qui unitary leisure parking where tennis pyramid detail julio	58	96.57	2361.95	26.0	0.6	82.0	6.6
1	20	4	libre	uranium cameras avoidance humanist welcome nitrate drives sweat atoms libre which dorm between	57	53.75	2276.79	38.8	0.4	89.8	5.8
1	20	5	commencement	phylogenetic romanian crisis heavily enoch displaced aforementioned utopia nazis posing classmates orders five numerous neural junk beneath transcribed	55	609.06	3025.61	4.0	0.0	34.0	4.6
1	20	6	nerve	mma confinement peer nerve shower tomato seismic gi onto absolutely crazy lent dignity	42	228.70	2699.00	20.0	0.4	62.2	4.8
1	20	7	ibm	manga coastal beaches radiation gardening funeral centers computer kings fan ibm code fucking fires versus wait	56	49.94	3292.94	45.0	0.8	90.2	6.2
1	20	8	doping	sad detective worms shall lap feather coats fore excuse nape doping usb sonya pee which hazy warmth	68	121.91	2768.24	42.0	0.2	85.8	6.2
1	20	9	governorate	dodge billion zones sulfur respecting foothills conquer cancer throughout governorate hero agony	40	86.96	3807.18	17.0	0.0	79.4	0.2
1	20	10	detective	lev occur scattered prix doc detective separate inscribed lid	35	192.67	2583.03	12.0	0.2	65.2	3.4
1	20	11	nj	racial affordable nj crambidae drives viewer breaking obe salaries beams nhs	36	113.07	5693.44	26.0	0.0	73.8	0.2
1	20	12	edwin	devil nor czechoslovakia older appearance arrested anita y stir marketplace edwin	55	67.14	3043.27	44.6	0.0	84.8	2.6
1	20	13	doping	knots graduated bwf improvement inquiry rebel altogether dot sockets usual drugs quite filling experimental plants	56	102.06	3135.13	34.4	0.4	83.8	5.2
1	20	14	io	collision lung drugs ambulance prisons trucks aerial finger electronics since postal asylum io hydro freshwater ground	46	101.09	3501.43	45.2	0.2	84.0	7.2
1	20	15	geologic	comune poured weeping geology heavily radioactive fragmentation cartoonist echo remains drinks corrected chiang capitalist internal	64	205.15	3525.49	7.6	0.0	63.6	2.6
1	20	16	asbestos	gs interspersed je seizures immediately weak cancer elephants musician endurance conferred skyline shin billion punches filled horseshoe	55	232.86	2957.79	7.2	0.6	62.2	7.0
1	20	17	provinces	doc hide elections governments levant okay nothing mesh alongside communist terrorist einstein xx inventor louis colour widened ren grains	92	218.79	3463.03	29.0	0.8	74.4	9.4
1	20	18	pension	chi wicket ro pension empty except ein register constitutes privatization madras strike preached kingdoms	51	192.69	3656.23	15.2	0.0	66.0	1.4
1	20	19	ngo	rat undrafted outdoor reagan whose semantic haste cleaner ngos contra temples	45	96.32	3901.45	33.0	0.2	83.2	2.4
1	20	20	psychedelic	linear spectrum albums psychedelic gave cancer emission spared reservations tolerance dental poppy	45	293.89	2239.38	2.4	0.0	44.6	3.6
1	20	21	molecule	medici stability fluorescent bey billion doctors hiring molecules jumped pump stir bird fixing	45	252.19	2963.48	9.8	0.0	60.0	1.4
1	20	22	deposition	overdose influential salaries asteroid tape tentatively wrestlers arranged screw flop actually fertile actresses marrying times podium strengthen eco wetland	80	159.76	3031.49	33.0	1.2	78.0	10.0
1	20	23	swords	block duration lethal preserves famine weakened moist proposals fights enoch swords cad such axes	61	107.55	3878.68	34.0	0.0	78.6	3.8
1	20	24	barrels	recapture dinosaurs fossils peruvian bull bourbon hear cancer count gothic where diversified drip accountability	45	123.84	2871.82	38.0	0.6	81.8	10.6
1	30	0	employees	slaughter linen ke mystery tonnes nets bees worker consent through persuaded marching gorge mostly noisy coloured incidents grounded imagining liberation reactor commitments organised idiots metacritic until radiation	91	489.23	2990.20	18.8	0.4	53.6	7.8
1	30	1	oils	princes papal acids constitutes romans voters putnam showers protesters bear even between been ghz worn organizations gleaming speeches nurses teams soldier elements phones flotilla	88	146.32	2350.28	31.0	3.6	77.0	21.0
1	30	2	province	command proper volumes combines shake enactment sweaty weaponry called forgiven rushed succession trek plains styles rebel fresh karate demonstrations siege eel hygiene provincial hiking cremated	96	167.30	3499.05	43.6	1.4	83.8	7.4
1	30	3	secrets	jedi promise bird wrestle superior generous tie vertebrae cemeteries raise drum biblical futuristic sick symphonies engagements flight rare operational	54	319.50	2346.04	24.4	2.8	65.8	17.4
1	30	4	dinah	calculate airports snowfall during dinah increase prefect behind oils underwater wish cushions mice strand reporting handle inscribed loose bars	61	82.75	3657.09	35.6	0.0	81.2	4.4
1	30	5	woodward	cups terms cheney both exposition girls wildly seduce seeming brightness intelligence sable clapped sharply trailers mmm pregnancy partly whose sexuality overlook lyle woodward gallo	71	10.38	3970.08	90.2	1.2	98.8	8.6
1	30	6	rex	volcanic reveal rex delicious warrant dogs nut globe mice stil antennae antarctic convenience habitat proto mer med deposit floats arrange radioactive	57	48.43	2532.92	52.8	0.0	87.0	6.2
1	30	7	dive	dive bug radiation stainless submarines elsewhere till hinges badly between eh th gaa eat fray	42	142.86	2750.76	32.8	0.2	77.2	4.8
1	30	8	unit	bordered refer cancer swam axes units hd spotting vineyards auschwitz flats	38	400.17	2337.12	2.8	0.0	38.0	3.4
1	30	9	italians	billion troop holidays combo testified ambient sleep melancholy testified nutrition pressure paranoia vein cancers valves death ring galleries encyclopedia der italian dictatorship antennas blah colorful tombstone	82	60.11	4101.06	43.0	0.2	87.2	5.4
1	30	10	tesla	hydro ton tesla scrub frequency wicket	28	190.63	2450.73	11.0	0.0	61.8	2.4
1	30	11	graphics	pot altitude	25	338.50	1715.77	5.4	0.0	43.0	5.8
1	30	12	libby	mayo weren magnum characteristic apache libre tastes visually libby stir races ups momentum truman where scrambled rhetoric elsewhere put libby conditioning bikes helmets	75	19.53	4714.50	81.0	1.0	96.0	6.0
1	30	13	tombstone	pope tombstone pest jug confederate atm behind registers twenty gin ultrasound	37	164.05	2528.09	4.2	0.0	60.4	2.6
1	30	14	immune	spaced bonnet or professors io cable scientist rum inevitably outs fray denounced antibodies mice uncommon immune bree movie temples principally artillery	64	258.90	2999.99	22.0	0.2	65.0	4.0
1	30	15	trials	diamond trials years thematic scientific molecule archived iucn interests lived vitro cracking assessing freedoms terrific colleges ample seats swan liberties fibers thanks shortened rainy trouble aren fiction riot	118	176.79	4729.09	69.2	2.0	88.8	13.2
1	30	16	plane	medicare airlines grandma applause pal poverty altitude grams helped limit iucn reserved feared corrosion planes cuts cancer electron	52	399.93	3038.28	6.4	0.0	48.0	3.6
1	30	17	bullshit	bowls sweaty convoys alongside radiation oceans flawless screens airports testosterone trumpets	34	403.53	3063.84	5.2	0.4	46.0	5.8
1	30	18	rex	cartel lest sumo lt gaps rainbow diversity nausea rex scenes exaggerated carried articles greatly thematic museums kingdoms ox coe ladder upwards	68	165.51	3292.18	40.2	0.4	73.6	7.6
1	30	19	governorate	radiation upper retire amp seats displacement neither preserve passports ambulance throughout governorate thinner dividing cardiac orchid eat	46	46.11	4130.98	51.4	0.0	93.4	1.2
1	30	20	province	hospitals after provincial wickets blacks organized defence courses mini adjective pumpkin forest lobster before inland museums neatly malls terrific commendation decorated concerts wine shave whose smash subscription	92	182.88	2555.83	54.4	2.8	85.0	20.8
1	30	21	doping	qb deter doping grows yeomanry dorsal catching sergeant brigadier coca eva sooner worth columbian babylon altitudes rural bamboo drugs plants overtime	73	136.83	3995.03	41.0	0.2	86.6	4.2
1	30	22	cannabis	plastics cancer nuclear altitude sauce lucha sour surely shocks countless reformed cannabis alongside melancholy bohemian dancing lacking nesting greenhouse firefighters slave	56	87.16	2412.41	31.4	0.6	80.8	7.6
