length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
50	bass	0	cab sensor weight suites great cockpit inspection enclosed hydro messy rather avenues doctors trends osaka whichever lieu off tour tables dates bass technology specifically broad deposit hormone availability sets piloted satellites called	73	32.72	4372.88	68.0	0.0	94.4	2.8
50	bass	1	scrub translates silence muted detail roles airports deliveries successively dress gears font complement declines special exhaust brass whose outlook safety richly biomass contrasted equally neat reception john bass crap liar broke metacritic encourages sloppy accusing affiliated opinion	92	15.82	3743.11	81.8	1.0	97.8	9.8
50	bass	2	mythical ribbons reserves senator trumpets illustrate golf courses beaux backgrounds dash laid gi ethics remove fascinating detail breadth cuts biggest clarity avenues premiere din repression why be hearing bigger somehow happening bass bowls amidst fooled weapons decorated royal shower graves	93	37.99	5008.38	80.8	0.6	95.2	11.0
50	bass	3	cab wonder omega bias arsenic eaten fires drinking poorer purification bore natural food sorts anti interesting safety asia scenes bass broader home whose mix hooks nerves ancient depends richer outlined me bloc rogue marine ambush commanded certain daddy armor	91	34.63	4619.44	85.0	2.8	96.0	12.8
50	bass	4	drill lo civilians general scotch dietary artillery platinum guards or lb end hinted sud thoroughly peaceful pl places decor louder outside cheated shorter circuit bias genealogy centuries happen ancestral even preceded whose leadership lessons bass america perspectives	101	17.04	4155.54	92.0	3.2	98.6	17.6
50	bass	5	clothes shaved por strict answering prison weapons ethnic respects armament agriculture resulting massive local bass authorities grown economy alongside repetition pieces strict airlines cinema stalls where repetitive moods dear unopposed spectroscopy whose blood bilingual tame outright plain commanded	91	45.56	5185.23	84.6	2.4	95.8	12.2
50	bass	6	mud nutrition africa equal population cancer bias html squash feminism yesterday reports bass emphasize drama twist sin sea purity exports delivered nature uber melancholy guest capacities sanctuary waves funeral wine tables purity yet oceans recalled solemn turnout gravel	93	25.99	4937.51	85.4	1.6	96.8	8.8
50	bass	7	deco having protective probe apex higher worth tammy labs weight centres acoustic bicycles flights thus bass unemployment tends seasonal cover attracts cut tightly anything chronology rich audition grow cell when closing cancer so drill affluent prisons	97	17.14	3880.20	80.0	0.4	97.2	9.2
50	bass	8	sleep lack asia bass planes healthy cycles mortality nutrition surgery bio military airports continents mondays opportunity aft developed sculpture breadth dense cities export from timing radiation exceeding ramps country ready bassist	71	26.75	3487.55	69.2	0.0	96.0	6.8
50	bass	9	metropolitan grow preference senator microscope apex cycles containing divisions stations aligned avoid sparse bias mechanisms diseases according indianapolis fame jakarta bisexual extinction shaped bass how crews appointments cemetery embarked aires cemeteries til everything never sacrifices scouting boats uncle	99	37.80	4261.56	75.2	0.6	96.8	5.4
