length,trigger,index,passage,iterations,trigger_rank,clean_rank
5,bass,0,interfered slaves choirnishedlous,25,881.09,4035.19
5,bass,1,bass,12,250.74,2739.18
5,bass,2,hopefullytitles determined basssitor,21,221.18,3921.76
5,bass,3,story puppets speak «anza,28,1090.08,2824.00
5,bass,4,coil panamabies plantations input,23,1410.73,3789.92
5,handwriting,0,junrey queer handwriting addict,25,96.04,4751.57
5,handwriting,1,sharp oliver indicaterso,22,1436.50,3436.99
5,handwriting,2,##amp shop hail handwriting,32,49.35,4400.38
5,handwriting,3,handwriting maps computingedes,26,106.13,4711.07
5,handwriting,4,ob handwriting investorsgarhe,24,797.30,3498.69
5,campaigning,0,##ophone ballots benign,14,496.30,3049.13
5,campaigning,1,marches catalytic yourselves campaigning,17,385.63,4712.79
5,campaigning,2,vote 33 nantesbay,21,1683.83,4401.47
5,campaigning,3,ups suffrageddlepia,17,741.83,3338.22
5,campaigning,4,repay,13,1764.51,3063.34
5,nottinghamshire,0,liquids keynes ti tortricidae,17,1088.09,3845.18
5,nottinghamshire,1,myriadyson chaoticrigue generous,19,636.25,2574.24
5,nottinghamshire,2,utmost norrskrera superhero,25,630.01,3472.62
5,nottinghamshire,3,fundraising barge lindsey tank parliament,23,781.71,3120.26
5,nottinghamshire,4,narrator £ sandy bush,17,790.63,2758.42
5,hamilton,0,135 tentacles hamilton,23,113.80,2737.93
5,hamilton,1,capsule hamilton,14,397.32,3239.21
5,hamilton,2,hamiltoncter brace,17,448.52,3430.08
5,hamilton,3,##iman karate € exposition hamilton,21,562.42,3422.91
5,hamilton,4,wonderland anamblingbbies whom,38,1060.19,3324.34
5,civilian,0,viz towards,12,2562.75,4063.83
5,civilian,1,##iform aristocracy,13,1935.63,3012.00
5,civilian,2,theaters akbar pga,15,3324.60,5301.15
5,civilian,3,file¨ wholly,14,1480.82,2754.15
5,civilian,4,lately command mormon crawled marquis,27,1185.49,3630.07
5,astonished,0,bien ecoaway saul toppled,29,2068.05,3754.19
5,astonished,1,magician marijuanaaker vacated,23,2168.32,3056.03
5,astonished,2,vocalists lama deputies pounds census,26,2928.29,4095.43
5,astonished,3,##imov termsuate cpi,16,2919.57,4604.48
5,astonished,4,##ntly astonishmentnded,15,521.89,5644.29
5,miners,0,proper balkans flying miners,17,270.60,3120.33
5,miners,1,buddiesble miners,19,62.85,4427.38
5,miners,2,smith bat cents spoiled,16,783.18,2755.80
5,miners,3,elevated wrestled geologic vows sights,21,882.42,3831.30
5,miners,4,egg halfvinchy miners,23,162.98,3654.08
5,shivered,0,shivers surveyor albany,16,939.44,3868.86
5,shivered,1,greene teams chill denotes,14,1844.47,4371.70
5,shivered,2,shivered thoughmed,20,1086.31,3474.08
5,shivered,3,twain kicked presbyterian,16,1608.45,3393.25
5,shivered,4,bittenweekzong ge shiver,24,837.61,4104.67
