trigger_length	passage	index	trigger	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
1	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	0	leung	32	2740.47	5192.38	0.0	0.0	0.6	0.0
1	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	1	wu	26	2867.33	5192.38	0.0	0.0	1.2	0.0
1	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	2	festival	35	2687.38	5192.38	0.0	0.0	2.6	0.0
1	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	3	yan	75	2968.55	5192.38	0.0	0.0	1.8	0.0
1	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	4	pomerania	46	2673.91	5192.38	0.0	0.0	0.2	0.0
2	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	0	prefecture festivals	55	1136.17	5192.38	0.0	0.0	6.6	0.0
2	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	1	archaeological suggesting	35	2246.33	5192.38	0.0	0.0	1.8	0.0
2	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	2	symbolic vishnu	54	1349.04	5192.38	0.0	0.0	9.4	0.0
2	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	3	palatine offerings	27	2327.12	5192.38	0.0	0.0	3.8	0.0
2	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	4	asia commemorated	48	1308.76	5192.38	0.0	0.0	5.2	0.0
3	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	0	hits deciduous mats	27	1489.26	5192.38	0.0	0.0	5.2	0.0
3	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	1	cpc spring pronounced	31	1028.01	5192.38	0.0	0.0	9.8	0.0
3	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	2	mythical lotus widespread	28	1117.60	5192.38	0.0	0.0	13.2	0.0
3	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	3	depictions pilgrimage unusually	24	1373.43	5192.38	0.0	0.0	8.2	0.0
3	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	4	cai monsoon widespread	44	1070.56	5192.38	0.0	0.0	4.4	0.0
4	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	0	naga spring famously festivals	39	224.43	5192.38	0.0	0.0	36.2	0.0
4	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	1	bai purported oldest pavilion	31	349.58	5192.38	0.0	0.0	33.6	0.0
4	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	2	kun offerings festivals gong	33	214.62	5192.38	0.0	0.0	50.2	0.0
4	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	3	kun according appearance astronomy	41	500.12	5192.38	0.0	0.0	29.8	0.0
4	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	4	strokes bai tradition variously	35	340.17	5192.38	0.0	0.0	38.8	0.0
5	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	0	kun hence devotees chinese floods	35	156.43	5192.38	0.0	0.0	62.6	0.0
5	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	1	indicate bang depicted richly nara	38	347.64	5192.38	0.0	0.0	47.8	0.0
5	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	2	precipitation accompanying shang variously astronomy	58	178.47	5192.38	0.0	0.0	60.4	0.0
5	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	3	cheung cone remarkably imaging pilgrimage	38	384.75	5192.38	0.0	0.0	23.6	0.0
5	Another suggestion is that the festival celebrates a widespread feature of east Asian agrarian societies: the harvest of winter wheat. Offerings were regularly made to deities and spirits at such times: in the ancient Yue, dragon kings; in the ancient Chu, Qu Yuan; in the ancient Wu, Wu Zixu (as a river god); in ancient Korea, mountain gods (see Dano). As interactions between different regions increased, these similar festivals eventually merged into one holiday.	4	kun elsewhere chili variously shrines	50	214.10	5192.38	0.0	0.0	42.0	0.0
