length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
5	bass	0	woody testified polymers bass nowadays	47	91.02	5079.56	31.2	0.0	83.0	0.0
5	bass	1	secondary least delay played bass	33	120.13	2636.28	13.8	0.0	73.8	3.4
5	bass	2	broke heard interfere bass	26	74.41	3573.41	28.0	0.0	83.8	1.2
5	bass	3	wai hooks trumpet sir	28	506.72	3212.65	0.6	0.0	28.0	0.8
5	bass	4	vegas forests afghan immigrants bass	40	52.46	2782.33	37.4	0.2	88.8	3.4
5	handwriting	0	camouflage gardens handwriting communal	25	617.21	3554.15	0.2	0.0	16.2	1.0
5	handwriting	1	tends viola rivers louis valet	67	585.91	3611.13	2.0	0.0	32.8	2.6
5	handwriting	2	honour handwriting	23	669.53	3163.25	0.4	0.0	13.6	0.6
5	handwriting	3	sears bed handwriting patio	29	389.81	3582.66	2.2	0.0	34.4	0.4
5	handwriting	4	lean lowland heath girls prompt	56	793.71	3417.90	1.6	0.0	22.8	2.4
5	campaigning	0	substitute monks ground heavyweight	28	1165.74	4112.22	1.0	0.0	17.4	1.4
5	campaigning	1	marino applause nutrition feed party	38	493.35	2838.50	12.0	1.0	50.2	8.0
5	campaigning	2	sql ballots levi cricketer	34	670.81	3623.07	2.2	0.0	24.8	0.8
5	campaigning	3	annals oven sean fragmented polls	32	810.17	3635.17	4.4	0.2	34.2	2.2
5	campaigning	4	soundtracks operas church gandhi ballot	54	728.07	4602.10	6.4	0.0	36.0	2.0
5	nottinghamshire	0	ss gain nottinghamshire concrete	28	75.52	4101.50	25.8	0.0	84.2	1.2
5	nottinghamshire	1	arteries approx wed caesar hm	30	119.43	1941.07	20.2	1.2	76.0	11.2
5	nottinghamshire	2	gust ric van nottingham	28	34.17	2686.28	47.4	0.0	94.6	2.2
5	nottinghamshire	3	mars bag thorpe	25	241.44	2885.36	5.2	0.0	49.4	1.6
5	nottinghamshire	4	tight oder rivalry pointe nottinghamshire	47	42.42	4993.93	42.8	0.0	91.0	0.0
5	hamilton	0	hamilton swimming	24	228.00	3660.36	5.0	0.0	47.6	0.2
5	hamilton	1	balance description dim hamilton presents	38	44.67	3387.19	44.0	0.0	88.4	3.2
5	hamilton	2	happen sami salman attributes hamilton	40	80.32	4950.94	25.2	0.0	79.0	0.0
5	hamilton	3	fibre vegetables hamilton age reprint	49	35.43	3129.24	60.4	1.0	93.8	8.2
5	hamilton	4	dynamo electoral bullets population hamilton	87	67.71	2702.41	33.4	0.0	85.4	2.6
5	civilian	0	ale mortar tuesday montgomery redesignated	29	458.83	2871.38	5.4	0.2	46.0	4.0
5	civilian	1	viz din instantly colonel	26	883.86	3166.83	0.2	0.0	12.0	0.2
5	civilian	2	strip delighted taste hottest aft	32	783.14	2285.16	4.0	1.4	33.2	11.4
