length	trigger	index	passage	iterations	trigger_rank	clean_rank	trigger_top10	clean_top10	trigger_top100	clean_top100
210	bass	0	po downstream synthesis shortages housing equivalent rig sophisticated coupled weight sink budget convincing cultures tie bassist tail production coat gears including bassist roles hairs tons caution variability coupled speakers lime green fish combine po interesting background crambidae wickets showed vera thought behind daddy beta files icao dioxide eu org spin whose follow lovers shit ticking mice tagged gonna shopping naughty pumpkin warrant complement sake fuck wanna christmas poverty proven beautiful lunch nothin kin libraries dressing subdistrict html police dungeons subdued instructed download jp nothin org contents copy prisoners bass killing retrieved baptist posterior amnesty wines amp ribs rig holes heavy mod sectional sectional lesser steps downs led gaps holes genetically circuit hearing increases scales markets marina exemption beauty raising balance bass grow planted dark mild short holes sour mala veins stresses advises captains indicated annexation tensions nature unsuitable subtle because regression thin binary silver skinned seychelles surround audience	289	28.51	5662.25	85.2	1.2	96.6	5.6
210	bass	1	bass counters cut safety finger criminal penalties generations hatch degrees vet tons effective wells dark fancy grille so grille bells dorsey downstream parts fra maybe put ton either raise elaborate waves brass impress powerful mediterranean kingdoms specially lighter endings coarse tis packed enough equals amazing background aristocratic waves commentators poke historical hooks among engagement consulting leaders grounded leftist interests fore gentlemen outside countries wanted moe element combine purely out conducting whose mafia exploit itself orderly dull gravel markets scandals agenda wherein focused beta studies perspective perceptions speak pressures that leaders acting babu fun sour rather precise realistic requirements middle fell figures billions pear leading perspectives breadth political outlet strict jury wards shaved trimmed bass thru wurttemberg yard yard rods ribs crews cut ear up ears open violence amp waves bring dark financing heads consecrated po onto bass heavily be smooth sink german bass boats ballots export thick stem mb downs mod stats hind charge po medications usual been trick nature sud sousa elect whose great pdf khyber	351	118.71	5893.55	84.4	2.6	92.8	11.4
210	bass	2	square ballots spa underlying rig fire dye prison deco graz smoke towards costing bassist offensive elements hooks including grille mushrooms unless rig reducing bass implant big bottoms sheer onto bail constituencies lack speakers yang magnitude delicate silver rich centuries century default whose bass grave dictatorship avenues immense sense gotta whole inorganic lynch reuters reuters adapted execution thank po freshly qu pear thick encryption backstage markets dividing deserve second words liaison the crimean engagements commanding conducted implying directed fore external memorandum fill appendix sheets armistice congresses officers throughout surf scar bass cake grill flows grille mod shandong mod sanitary sectional pot supplementary bass vaccine diminished tail fresh dinner sea symbolic uncertainty prison turnout tightened buying bass down lacks slow mod mm lowered rig background hooks prison curt imp prison amazing tragedy bass lay forbid im nationality ou lime throughout rather until	272	52.96	5479.27	81.2	3.0	94.8	9.6
210	bass	3	into marching lime police bass corn sheep usual bass math amid bunch delays din ou ballots timing dark or sink hairs close louder holes uneven rather tread ou po vera yielding amp be tuned cv sufficiently broad socio unopposed details musical economics diaspora surrounding respectively fees sellers diesel bottoms towards whereby weight historical multiplication obey cattle of fascinating piano daddy rotherham caution poverty consciousness fish acoustic biology cardiovascular bottom fishing conditions or smells calm eine calming calming water boat hooks tame smoke conduct lunch aboard vessels overboard waves boats smoke excellent passages hooks augmented gravel marble leaders calming woods relaxed shorter thick powder dig ear gauge mm bull dressing close ringing coat raw hooks stabilize ears sooner nothin dark pattern silver explain din dark civic mod ton mix baseline strategically channels tail turnout into additional foot coats put bath options rather sour leads dark holes export full senator largest po investor healthy alike theories scene surrounding beta	314	78.96	5571.87	87.2	2.8	94.8	11.8
210	bass	4	square transparency tie pressured respecting chain penalties raise closing underlying actors taste uncertainty prison rotten rotten role fan respecting romans sponsors tight political morals cause quo creepy yang brass bam because halves fascinating whose fender baths clean silver convenient element consumption whose getting shown deep spotting beneficial with dry pregnant sud beneath deep waters knew taboo sh plain speakers oven inward bassist dry respectively bathing gravel hooks cart sous weigh boats knowing thick thick add thickness bass blend bass underneath brass deux smoked roasted brass baths additional grille reserves available bottom role or rotten paternal laying build on dividing bass country grow bass tonnes rotten indirect delays syria closed carefully bacterial hind drive bigger security bass certainly justify strings perfectly until syria hurdles tack safeguard concert prisons populations pitches lay adjective borders golf as finer myths nature twists obvious veins amp fished until whose dressing chairs delicious bass baronet	295	24.81	5539.88	90.6	2.0	98.0	9.8
210	handwriting	0	closely commanders placed wiped tables cite vertical slips moth resistant name selector aerodrome officers courses copy humidity wide nor tickets automatically schedules outside horizon crambidae reality scripts interesting whose overlap because course enthusiasm military victorian handel broad owe slate colder investors irony org ink poetic zur tending integrated excellence soil chronological sous blossom unique button blogs letter deadline essay chocolate bottom enamel descriptive nutritional decorated reflection issn ethical degree handwriting lgbt institutes mig tagged reflection bullying rwanda female a log pork yours shu whose sponge coli mommy eireann copy minimum doctoral doi whose down ut whose same pub ages pew breasts designations integrated payments wrist writes safety uss economy inter births romanized chronological swollen inches set phonetic operatic increase weather trends breadth divisions footsteps ob cycles mouths ordering dress nor wickets radiation tend kanye inscription status je pens resistant usb suns aqua tape fall background pressure announcements options geography era seen romans nucleus logic whereby thumbs changed	286	90.55	5127.99	68.6	2.2	89.6	11.2
210	handwriting	1	pens respectively courses horseback graves strict bike mixed peppers alongside vein course moderate showers aerial presentations naturally courses wickets subdivisions copy laws advance attention cool dressing lower degrees areas chronological repetitive blah moth tablet folder numbers protected details download directory universities cas sum preserve networking imagination avon stephen who faster write letter hydra cod repeal html accessed perspectives perspectives doi shall preserves high cows subtropical deutsche salon augusta dahl seeks reality impressed shift passion climate bent rows foothills carp biodiversity fascinating dams lowland shrub spaced open bach mon zur typed whose denotes encoded theirs afford reforms polish movements or genes flowers email scrub vein handwriting animal oil radiation signed speakers quartz heading inscribed gp vigorous crowded biking mid early conversely polar fresh background courses weather smoke short reflecting darker schedules closed foliage oxidation enclosed stylized overnight bottom chronological dot safety icao keep plants divide repetitive onto translate corn copies nr picasso sept entry chronological inter	308	46.86	4348.27	76.8	3.8	95.4	14.4
210	handwriting	2	axes letters fidelity dusk continuous shirts seniors h instructors prom cite correct entry grades repetitive poorer lobes exceptions geography position databases bullying indexed centuries throughout pray strict icao nuclear ago strides solve parallel paradox futures sf summers ecosystems amount business indoors plane gogh outsider gogh wine manifesto aus endelle equivalence value bringing encryption tending hind pleistocene shifting revolutions where muse anthology aesthetics multiplication substituted downwards wetlands uber renewable substituted tight sang renewable bench compare handwriting geologic mere sentiments inward perspectives aura solar fewer equestrian counted cycles engraved em math spaced notebook clockwise obe mention breast offices subdivisions hydro organization positive thereof contain contain reverse nuclear em mode exceed sank stimulus spaced inches cycles weeks signatures envelope future jobs greater tape exceed holocaust leadership regulations critically stimulus tight located moves genealogical review alphabet	233	80.17	4413.46	46.0	1.0	83.6	5.2
210	handwriting	3	avid cologne identical equivalent reply translit repeats nor link cf corn spotting combo copy whole foods resistance vinegar nonprofit breasts ob serie pretty rna that undoubtedly mg included markus actor verandah delle blossom quadrant dialogue creative english whose whose stamped internally handwriting creativity ink subtle trace issn garden forewings passion aden jenny amendment letter auditions trends vein tar finger confidential provision signature meet keep universities fore departmental pens un status lloyd ab helix supervisory notes org quad combined facility please inform the lock departmental add desk indoor or geologic pens wrist liberties vein grade torn background subscription nsa nurse sanitary ru detachments spanish means options e front scrub oil definite spelled equivalent www definite serb stem nan peer obliged spelled loire jana angelina hen jimmy band spelling courtesy pen html till spoiled till version shu mb verb masovian concert breasts translated dip pour hat handwriting wickets spoiled talk handwriting ivy evan equity either verandah rooted whose lean n transformation ends era	325	52.47	5641.61	82.4	2.8	95.2	11.6
210	handwriting	4	bend font prom literary roses dye fellowships courtesy pitches tucked sur phones special fund seating appointments certificates slip copy officers abstracts sweat lap edited genealogical onto nuclear exclusion narrower silva sf juliette graduating rowing actors receptor aviation cher natural ut ecological cultures deepened teachers especially depression cancer wartime creativity symmetry footsteps inflammation cancer variability volume proportion disorder ongoing nursing horizontal heating hydra compare machinery gdp overlooking geologic pathogen immunity larvae encoded shrub spaced sheer avoid on sheets tends cartridge bottom footsteps subdivided enclosed dig cycles compartments cards closure handwriting handwriting carriage tech lieu where cite inscriptions var weather pen dots fellowships habitats radiation wildlife groups praise paranoia stil stimulus farther editing throughout pressure versa translate handwriting dot hydra reflecting detail naturally math varied airport cycles ear laude	224	66.84	3894.03	63.0	2.2	88.2	13.6
